GroupID,Loại,Cung địa chi,Chính Tinh,Chính Tinh Đối Cung,Chính Tinh Nhị Hợp,Lá tại Tý,Chính tinh tam hợp,Chính tinh tam hợp
7,Tử Sát Tỵ Hợi,Thân,Thái Dương,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Thân,Cự Môn,Vô Chính Diệu,Thiên Phủ,,Vô Chính Diệu,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Dậu,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Dậu,Thiên Tướng,Phá Quân,Vô Chính Diệu,,Vô Chính Diệu,Thiên Phủ
7,Tử Sát Tỵ Hợi,Tuất,Thiên Cơ,Vô Chính Diệu,Liêm Trinh,,Vô Chính Diệu,Thiên Đồng
7,Tử Sát Tỵ Hợi,Tuất,Thiên Lương,Vô Chính Diệu,Phá Quân,,Vô Chính Diệu,Thái Âm
7,Tử Sát Tỵ Hợi,Hợi,Tử Vi,Vô Chính Diệu,Vô Chính Diệu,,Liêm Trinh,Vũ Khúc
7,Tử Sát Tỵ Hợi,Hợi,Thất Sát,Thiên Phủ,Vô Chính Diệu,,Phá Quân,Tham Lang
8,Tử Sát Tỵ Hợi,Ngọ,Vô Chính Diệu,Thiên Đồng,Vô Chính Diệu,,Vô Chính Diệu,Thái Dương
8,Tử Sát Tỵ Hợi,Ngọ,Vô Chính Diệu,Thái Âm,Vô Chính Diệu,,Vô Chính Diệu,Cự Môn
8,Tử Sát Tỵ Hợi,Mùi,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Mùi,Vô Chính Diệu,Tham Lang,Vô Chính Diệu,,Thiên Phủ,Thiên Tướng
8,Tử Sát Tỵ Hợi,Thân,Vô Chính Diệu,Thái Dương,Tử Vi,,Thiên Đồng,Thiên Cơ
8,Tử Sát Tỵ Hợi,Thân,Vô Chính Diệu,Cự Môn,Thất Sát,,Thái Âm,Thiên Lương
8,Tử Sát Tỵ Hợi,Dậu,Liêm Trinh,Vô Chính Diệu,Thiên Cơ,,Vũ Khúc,Tử Vi
8,Tử Sát Tỵ Hợi,Dậu,Phá Quân,Thiên Tướng,Thiên Lương,,Tham Lang,Thất Sát
8,Tử Sát Tỵ Hợi,Tuất,Vô Chính Diệu,Thiên Cơ,Vô Chính Diệu,,Thái Dương,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Tuất,Vô Chính Diệu,Thiên Lương,Thiên Tướng,,Cự Môn,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Hợi,Vô Chính Diệu,Tử Vi,Thái Dương,,Vô Chính Diệu,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Hợi,Thiên Phủ,Thất Sát,Cự Môn,,Thiên Tướng,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Tý,Thiên Đồng,Vô Chính Diệu,Vũ Khúc,Thái Âm|Thiên Đồng,Thiên Cơ,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Tý,Thái Âm,Vô Chính Diệu,Tham Lang,Thái Âm|Thiên Đồng,Thiên Lương,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Sửu,Vũ Khúc,Vô Chính Diệu,Thiên Đồng,,Tử Vi,Liêm Trinh
8,Tử Sát Tỵ Hợi,Sửu,Tham Lang,Vô Chính Diệu,Thái Âm,,Thất Sát,Phá Quân
8,Tử Sát Tỵ Hợi,Dần,Thái Dương,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Dần,Cự Môn,Vô Chính Diệu,Thiên Phủ,,Vô Chính Diệu,Vô Chính Diệu
8,Tử Sát Tỵ Hợi,Mão,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
