GroupID,Loại,Cung địa chi,Chính Tinh,Chính Tinh Đối Cung,Chính Tinh Nhị Hợp,Lá tại Tý,Chính tinh tam hợp,Chính tinh tam hợp
2,Tử Vi đơn thủ Tý -Ngọ,Sửu,Vô Chính Diệu,Cự Môn,Tử Vi,,Thiên Lương,Thiên Lương
2,Tử Vi đơn thủ Tý -Ngọ,Dần,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Dần,Phá Quân,Thiên Tướng,Thiên Cơ,,Tham Lang,Thất Sát
2,Tử Vi đơn thủ Tý -Ngọ,Mão,Vô Chính Diệu,Thái Dương,Vô Chính Diệu,,Thiên Đồng,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Mão,Vô Chính Diệu,Thiên Lương,Thất Sát,,Cự Môn,Thiên Cơ
2,Tử Vi đơn thủ Tý -Ngọ,Thìn,Liêm Trinh,Vô Chính Diệu,Thái Dương,,Vũ Khúc,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Thìn,Thiên Phủ,Thất Sát,Thiên Lương,,Thiên Tướng,Tử Vi
2,Tử Vi đơn thủ Tý -Ngọ,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Vũ Khúc,,Vô Chính Diệu,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Tỵ,Thái Âm,Thiên Cơ,Thiên Tướng,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Tý,Liêm Trinh,Vô Chính Diệu,Vô Chính Diệu,Liêm Trinh|Thiên Tướng,Vô Chính Diệu,Tử Vi
3,Tử Phủ Dần Thân,Tý,Thiên Tướng,Phá Quân,Thiên Lương,Liêm Trinh|Thiên Tướng,Vũ Khúc,Thiên Phủ
3,Tử Phủ Dần Thân,Sửu,Vô Chính Diệu,Vô Chính Diệu,Liêm Trinh,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Sửu,Thiên Lương,Thiên Cơ,Thiên Tướng,,Thái Dương,Thái Âm
3,Tử Phủ Dần Thân,Dần,Vô Chính Diệu,Tử Vi,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Dần,Thất Sát,Thiên Phủ,Cự Môn,,Phá Quân,Tham Lang
3,Tử Phủ Dần Thân,Mão,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Mão,Thiên Đồng,Thái Âm,Tham Lang,,Thiên Cơ,Cự Môn
3,Tử Phủ Dần Thân,Thìn,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Tử Vi,Liêm Trinh
3,Tử Phủ Dần Thân,Thìn,Vũ Khúc,Tham Lang,Thái Âm,,Thiên Phủ,Thiên Tướng
3,Tử Phủ Dần Thân,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Tử Vi,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Tỵ,Thái Dương,Cự Môn,Thiên Phủ,,Thái Âm,Thiên Lương
3,Tử Phủ Dần Thân,Ngọ,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Ngọ,Phá Quân,Thiên Tướng,Thiên Cơ,,Tham Lang,Thất Sát
3,Tử Phủ Dần Thân,Mùi,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Mùi,Thiên Cơ,Thiên Lương,Phá Quân,,Cự Môn,Thiên Đồng
3,Tử Phủ Dần Thân,Thân,Tử Vi,Vô Chính Diệu,Vô Chính Diệu,,Liêm Trinh,Vô Chính Diệu
3,Tử Phủ Dần Thân,Thân,Thiên Phủ,Thất Sát,Thái Dương,,Thiên Tướng,Vũ Khúc
3,Tử Phủ Dần Thân,Dậu,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Dậu,Thái Âm,Thiên Đồng,Vũ Khúc,,Thiên Lương,Thái Dương
3,Tử Phủ Dần Thân,Tuất,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Tuất,Tham Lang,Vũ Khúc,Thiên Đồng,,Thất Sát,Phá Quân
3,Tử Phủ Dần Thân,Hợi,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
3,Tử Phủ Dần Thân,Hợi,Cự Môn,Thái Dương,Thất Sát,,Thiên Đồng,Thiên Cơ
4,Tử Phủ Dần Thân,Ngọ,Liêm Trinh,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Tử Vi
4,Tử Phủ Dần Thân,Ngọ,Thiên Tướng,Phá Quân,Thiên Lương,,Vũ Khúc,Thiên Phủ
4,Tử Phủ Dần Thân,Mùi,Vô Chính Diệu,Vô Chính Diệu,Liêm Trinh,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Mùi,Thiên Lương,Thiên Cơ,Thiên Tướng,,Thái Dương,Thái Âm
4,Tử Phủ Dần Thân,Thân,Vô Chính Diệu,Tử Vi,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Thân,Thất Sát,Thiên Phủ,Cự Môn,,Phá Quân,Tham Lang
4,Tử Phủ Dần Thân,Dậu,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Dậu,Thiên Đồng,Thái Âm,Tham Lang,,Thiên Cơ,Cự Môn
4,Tử Phủ Dần Thân,Tuất,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Tử Vi,Liêm Trinh
4,Tử Phủ Dần Thân,Tuất,Vũ Khúc,Tham Lang,Thái Âm,,Thiên Phủ,Thiên Tướng
4,Tử Phủ Dần Thân,Hợi,Vô Chính Diệu,Vô Chính Diệu,Tử Vi,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Hợi,Thái Dương,Cự Môn,Thiên Phủ,,Thái Âm,Thiên Lương
4,Tử Phủ Dần Thân,Tý,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,Phá Quân|Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Tý,Phá Quân,Thiên Tướng,Thiên Cơ,Phá Quân|Vô Chính Diệu,Tham Lang,Thất Sát
4,Tử Phủ Dần Thân,Sửu,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Sửu,Thiên Cơ,Thiên Lương,Phá Quân,,Cự Môn,Thiên Đồng
4,Tử Phủ Dần Thân,Dần,Tử Vi,Vô Chính Diệu,Vô Chính Diệu,,Liêm Trinh,Vô Chính Diệu
4,Tử Phủ Dần Thân,Dần,Thiên Phủ,Thất Sát,Thái Dương,,Thiên Tướng,Vũ Khúc
4,Tử Phủ Dần Thân,Mão,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Mão,Thái Âm,Thiên Đồng,Vũ Khúc,,Thiên Lương,Thái Dương
4,Tử Phủ Dần Thân,Thìn,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Thìn,Tham Lang,Vũ Khúc,Thiên Đồng,,Thất Sát,Phá Quân
4,Tử Phủ Dần Thân,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
4,Tử Phủ Dần Thân,Tỵ,Cự Môn,Thái Dương,Thất Sát,,Thiên Đồng,Thiên Cơ
5,Tử Tướng Thìn Tuất,Tý,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,Thất Sát|Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Tý,Thất Sát,Thiên Phủ,Vô Chính Diệu,Thất Sát|Vô Chính Diệu,Phá Quân,Tham Lang
5,Tử Tướng Thìn Tuất,Sửu,Vô Chính Diệu,Thái Dương,Vô Chính Diệu,,Vô Chính Diệu,Thiên Cơ
5,Tử Tướng Thìn Tuất,Sửu,Vô Chính Diệu,Thái Âm,Thất Sát,,Thiên Đồng,Cự Môn
5,Tử Tướng Thìn Tuất,Dần,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vũ Khúc,Tử Vi
5,Tử Tướng Thìn Tuất,Dần,Liêm Trinh,Tham Lang,Thiên Lương,,Thiên Phủ,Thiên Tướng
5,Tử Tướng Thìn Tuất,Mão,Vô Chính Diệu,Thiên Cơ,Tử Vi,,Thái Dương,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Mão,Vô Chính Diệu,Cự Môn,Thiên Tướng,,Thái Âm,Thiên Lương
